FileName	StartTime	EndTime
GUTINEDX.2020	Tuesday March, 24 2020 18:06:09	Tuesday March, 24 2020 18:06:09
GUTINEDX.2019	Tuesday March, 24 2020 18:11:09	Tuesday March, 24 2020 18:11:09
GUTINEDX.2018	Tuesday March, 24 2020 18:16:09	Tuesday March, 24 2020 18:16:10
GUTINEDX.2017	Tuesday March, 24 2020 18:21:10	Tuesday March, 24 2020 18:21:10
GUTINEDX.2016	Tuesday March, 24 2020 18:26:10	Tuesday March, 24 2020 18:26:10
GUTINEDX.2015	Tuesday March, 24 2020 18:31:10	Tuesday March, 24 2020 18:31:10
GUTINEDX.2014	Tuesday March, 24 2020 18:36:10	Tuesday March, 24 2020 18:36:10
GUTINEDX.2013	Tuesday March, 24 2020 18:41:10	Tuesday March, 24 2020 18:41:10
GUTINEDX.2012	Tuesday March, 24 2020 18:46:10	Tuesday March, 24 2020 18:46:11
GUTINEDX.2011	Tuesday March, 24 2020 18:51:11	Tuesday March, 24 2020 18:51:11
GUTINEDX.2010	Tuesday March, 24 2020 18:56:11	Tuesday March, 24 2020 18:56:11
GUTINEDX.2009	Tuesday March, 24 2020 19:01:11	Tuesday March, 24 2020 19:01:11
GUTINEDX.2008	Tuesday March, 24 2020 19:06:11	Tuesday March, 24 2020 19:06:12
GUTINEDX.2007	Tuesday March, 24 2020 19:11:12	Tuesday March, 24 2020 19:11:12
GUTINEDX.2006	Tuesday March, 24 2020 19:16:12	Tuesday March, 24 2020 19:16:12
GUTINEDX.2005	Tuesday March, 24 2020 19:21:12	Tuesday March, 24 2020 19:21:12
GUTINEDX.2004	Tuesday March, 24 2020 19:26:12	Tuesday March, 24 2020 19:26:12
GUTINEDX.2003	Tuesday March, 24 2020 19:31:12	Tuesday March, 24 2020 19:31:13
GUTINEDX.2002	Tuesday March, 24 2020 19:36:13	Tuesday March, 24 2020 19:36:13
GUTINEDX.2001	Tuesday March, 24 2020 19:41:13	Tuesday March, 24 2020 19:41:13
GUTINEDX.2000	Tuesday March, 24 2020 19:46:13	Tuesday March, 24 2020 19:46:13
GUTINEDX.1999	Tuesday March, 24 2020 19:51:13	Tuesday March, 24 2020 19:51:13
GUTINEDX.1998	Tuesday March, 24 2020 19:56:13	Tuesday March, 24 2020 19:56:13
GUTINEDX.1997	Tuesday March, 24 2020 20:01:13	Tuesday March, 24 2020 20:01:13
GUTINEDX.1996	Tuesday March, 24 2020 20:06:13	Tuesday March, 24 2020 20:06:13